ts	phase	decision	why	evidence	result
2026-07-25T14:34:29Z	frame	created the audit branch from the current main state	preserve the ahead commit and untracked transitions checkout	git branch sync/skills-context-audit-20260725-223347	branch ready
2026-07-25T14:35:20Z	sync	restored the declared vendor sources and captured the two missing repo skills	the manifest named transitions-dev and the live lock named find-skills	.gitmodules, skills/.vendor-manifest.json, skills/transitions-dev, skills/find-skills	52 skill directories expected
2026-07-25T14:35:56Z	sync	removed broken global links and refreshed settings plus repo links	avoid loading dead skill names while preserving the captured live skill	bin/skills sync-settings, bin/skills doctor	global links refreshed
2026-07-25T14:37:10Z	sync	added Motion token redaction to settings sync	the first secret scan found one literal token in the generated Codex template	scripts/sync-settings.sh, secret scan	zero known secret matches
2026-07-25T14:59:03Z	audit	measured every repo-owned skill entrypoint, description, reference tree, routing, and ownership	make context cost and patch responsibility reviewable per skill	reports/skill-prompt-audit-2026-07-25.md inventory table	52 of 52 skills covered
2026-07-25T14:59:03Z	proposal	kept the Poteto replacement in isolated north/south fixtures only	the requested pass forbids edits to existing prompts and requires blind evidence before promotion	/private/tmp/orchard-context-20260725; baseline 2815 words; replacement 495 words	static prompt surface reduced 82.4 percent
2026-07-25T14:59:03Z	evaluation	ran four paired organic tasks across Claude Opus 5 and GPT-5.6 Terra with cross-family blind review	measure instruction-driven cost, quality, safety, and verification on both model families	Claude totals 161217/317327 vs 140964/179431; GPT outputs and blind reviews under temporary results	replacement quality 77 vs baseline 65; completed-pair median tokens reduced 12.6 percent
2026-07-25T14:59:03Z	gate	did not promote the Poteto replacement	the total-token gate missed 50 percent and blind review found missing post-action verification	reports/skill-prompt-audit-2026-07-25.md acceptance table	restore one post-state verification sentence and rerun before any live edit
2026-07-25T15:07:10Z	review	asked Claude Opus 5 to review the final-state summary and trail	cross-model review is required before completion and should challenge efficacy claims	/private/tmp/orchard-context-20260725/results/final-cross-review-schema.json	flagged directional token estimate, single-rater point total, static word proxy, and bounded hygiene claims
2026-07-25T15:07:10Z	response	tightened the report claims and retained non-promotion	the review findings were valid limitations but did not change the failed-gate decision	reports/skill-prompt-audit-2026-07-25.md outcome, acceptance, and integrity sections	loaded-token gate marked unestablished; total-token result directional; quality nominal; post-state sentence marked untested
2026-07-25T15:08:52Z	verify	completed the repository integrity pass	acceptance requires a resolvable vendor graph, healthy links, bounded secret scan, prompt immutability, and complete report coverage	git submodule status --recursive; bin/skills doctor; manifest resolver; link scan; secret patterns; git diff --check; coverage matcher	all sync checks passed; 52/52 report coverage; changes remain uncommitted on the audit branch
2026-07-25T15:13:39Z	uninstall	removed find-skills and transitions-dev from repo, vendor, manifest, and live catalogs	the user explicitly requested uninstall after reviewing the initial 52-skill audit	single-purpose vendor paths removed; imported copies and symlinks moved to /private/tmp/skill-uninstall-20260725	final inventory expected at 50; removal is recoverable from temporary quarantine or upstream sources
2026-07-25T15:15:11Z	verify	verified the post-uninstall 50-skill state	ensure both names are gone from every active surface without disturbing the remaining sync work	skills doctor; recursive submodules; 50/50 report matcher; 45-entry manifest resolver; exact target and symlink scan; secret scan; diff checks	zero target remnants, broken links, missing paths, or known secret matches; my-skill untouched
2026-07-25T15:31:35Z	uninstall	removed seven Matt Pocock skills while retaining the shared vendor checkout	the user explicitly requested diagnose, grill-me, grill-with-docs, handoff, prototype, to-prd, and write-a-skill be deleted	skill and pristine directories plus live symlinks moved to /private/tmp/skill-uninstall-20260725-matt-seven; manifest entries removed	43 installed skills expected; deletion is recoverable from quarantine or the retained vendor source
2026-07-25T15:31:35Z	dependency	internalized the context and ADR format references in improve-codebase-architecture	deleting grill-with-docs would otherwise leave two broken relative links in a retained skill	skills/improve-codebase-architecture and .vendor-state/patches/improve-codebase-architecture.patch	remaining architecture skill is self-contained and vendor patch ownership is recorded
2026-07-25T15:32:30Z	verify	verified the post-uninstall 43-skill state and the retained architecture patch	ensure deletion introduced no missing installed targets or dependency breakage	skills doctor; manifest resolver; 43/43 report coverage; target and symlink scans; regenerated no-index patch comparison; bounded reference scan; secret and diff checks	zero target remnants, broken links, missing manifest paths, or new markdown-link failures; regenerated architecture patch matches the stored patch byte-for-byte
